Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Albania,ALB,5394.18241000709
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Algeria,DZA,4717.39932878428
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Andorra,AND,40161.7695253033
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Angola,AGO,2333.71877506136
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,17902.3799187494
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,12625.4695509096
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Armenia,ARM,5566.31849291352
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Aruba,ABW,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Australia,AUS,61340.7104848018
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Austria,AUT,45851.7248755344
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,5674.48347713732
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,30061.65465132
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bahrain,BHR,24734.3420692952
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,1869.16393296539
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Barbados,BRB,17690.196482172
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belarus,BLR,6482.82033273897
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belgium,BEL,44283.2077143463
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belize,BLZ,6385.37358431913
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Benin,BEN,1300.32000156344
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bermuda,BMU,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bhutan,BTN,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bolivia,BOL,3168.73190125574
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,6421.00714402147
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Botswana,BWA,6708.03946124144
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brazil,BRA,9032.11361406338
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,29132.9468543775
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,9779.82206379364
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,738.956534222892
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burundi,BDI,262.16570564686
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,3699.59630670486
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cambodia,KHM,1552.82056848537
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cameroon,CMR,1461.01960433874
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Canada,CAN,44388.4029989751
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cayman Islands,CYM,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Central African Republic,CAF,357.41141092809
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chad,TCD,599.468386203142
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Channel Islands,CHI,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chile,CHL,14247.7133480235
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,China,CHN,12174.0041075641
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Colombia,COL,6850.19634550672
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Comoros,COM,1374.45505620567
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Dem. Rep.",COD,555.799098699391
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Rep.",COG,1697.96121922312
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Costa Rica,CRI,14025.8564535929
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cote d'Ivoire,CIV,2493.45561015491
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Croatia,HRV,17234.4810868316
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cuba,CUB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Curacao,CUW,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cyprus,CYP,30768.919921875
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Czechia,CZE,19800.27922057
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Denmark,DNK,61031.8137139511
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Djibouti,DJI,3122.94931037635
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Dominica,DMA,7648.98329093903
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Dominican Republic,DOM,8856.06866323606
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ecuador,ECU,6166.00475903588
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Egypt, Arab Rep.",EGY,4177.61445981918
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,El Salvador,SLV,4442.24965962778
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Equatorial Guinea,GNQ,5506.00504082549
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Eritrea,ERI,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Estonia,EST,20245.2033973271
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Eswatini,SWZ,4175.45932119359
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ethiopia,ETH,890.349617187314
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Faroe Islands,FRO,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Fiji,FJI,5698.96420483469
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Finland,FIN,45939.2916450135
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,France,FRA,38975.5766157236
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,French Polynesia,PYF,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Gabon,GAB,6654.75657105081
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Gambia, The",GMB,707.558740097353
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Georgia,GEO,6086.59268816499
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Germany,DEU,42878.8118385764
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ghana,GHA,2066.37522371624
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Gibraltar,GIB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Greece,GRC,20826.8955787208
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Greenland,GRL,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Grenada,GRD,9134.30744686415
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guam,GUM,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guatemala,GTM,4596.32007982874
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guinea,GIN,1039.80982843842
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guinea-Bissau,GNB,752.067459594336
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guyana,GUY,23325.1224161142
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Haiti,HTI,1210.03466873287
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Honduras,HND,2539.61859281938
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Hong Kong SAR, China",HKG,43548.253834928
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Hungary,HUN,16286.7593347282
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Iceland,ISL,58393.1788782259
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,India,IND,2239.25036295254
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Indonesia,IDN,4247.85315520073
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Iran, Islamic Rep.",IRN,5739.9439512132
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Iraq,IRQ,4136.19753038504
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ireland,IRL,91783.4370132598
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Isle of Man,IMN,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Israel,ISR,42674.3002343717
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Italy,ITA,33774.0201855238
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Jamaica,JAM,5355.4748248395
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Japan,JPN,37079.1092202813
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Jordan,JOR,3974.95939367124
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kazakhstan,KAZ,11700.8364821966
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kenya,KEN,1813.76097266007
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kiribati,KIR,1991.31431399897
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Korea, Dem. People's Rep.",PRK,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Korea, Rep.",KOR,34121.0211756766
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kosovo,XKX,4854.3335105348
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kuwait,KWT,27068.4869142309
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Kyrgyz Republic,KGZ,1263.98746055944
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lao PDR,LAO,2659.71838486483
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Latvia,LVA,16945.2043264018
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lebanon,LBN,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lesotho,LSO,950.706868980527
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Liberia,LBR,662.503236758364
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Libya,LBY,9861.04514419466
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Liechtenstein,LIE,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lithuania,LTU,18213.8342529906
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Luxembourg,LUX,105996.661496663
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Macao SAR, China",MAC,57931.6963756044
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Madagascar,MDG,460.834128797962
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malawi,MWI,548.578546306431
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malaysia,MYS,11691.3612742999
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Maldives,MDV,11534.9169043805
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mali,MLI,762.646041430639
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malta,MLT,31189.6332109398
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Marshall Islands,MHL,5429.08848461758
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mauritania,MRT,1628.08752310389
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mauritius,MUS,11318.6003139968
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mexico,MEX,10326.9538532988
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Micronesia, Fed. Sts.",FSM,2919.04716355461
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Moldova,MDA,3685.25670501181
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Monaco,MCO,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mongolia,MNG,4483.75520166213
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Montenegro,MNE,8375.22211138647
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Morocco,MAR,3370.83642578125
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Mozambique,MOZ,602.919979362696
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Myanmar,MMR,1168.68760910701
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Namibia,NAM,4511.88939658345
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nauru,NRU,7847.66487083935
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nepal,NPL,1091.89569141093
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Netherlands,NLD,50100.1913678873
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,New Caledonia,NCL,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,New Zealand,NZL,41724.968527083
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nicaragua,NIC,2185.44813460409
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Niger,NER,540.584824310098
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Nigeria,NGA,2460.39449557057
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,North Macedonia,MKD,6350.24340716068
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Northern Mariana Islands,MNP,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Norway,NOR,78939.4047672371
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Oman,OMN,18821.9818345292
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Pakistan,PAK,1663.98738057294
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Palau,PLW,12480.628289499
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Panama,PAN,16294.0326025159
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Papua New Guinea,PNG,2482.71988215569
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Paraguay,PRY,6415.42928466562
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Peru,PER,6455.82768166728
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Philippines,PHL,3667.56553714902
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Poland,POL,17269.9941729939
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Portugal,PRT,22377.6661237872
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Puerto Rico,PRI,30122.8412253197
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Qatar,QAT,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Romania,ROU,12386.4614421177
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Russian Federation,RUS,10420.5712890625
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Rwanda,RWA,994.225755125072
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Samoa,WSM,3822.16026355624
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,San Marino,SMR,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sao Tome and Principe,STP,1361.73245026469
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Saudi Arabia,SAU,21006.1511726629
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Senegal,SEN,1476.4451720207
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Serbia,SRB,7736.46385211174
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Seychelles,SYC,16715.2650923889
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sierra Leone,SLE,634.737189557464
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Singapore,SGP,65422.4603166668
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sint Maarten (Dutch part),SXM,34207.9512812081
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Slovak Republic,SVK,19217.4739848985
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Slovenia,SVN,25643.352291199
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Solomon Islands,SLB,2099.02954839964
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Somalia,SOM,509.079989552448
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,South Africa,ZAF,6006.45285746237
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,South Sudan,SSD,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Spain,ESP,28046.9506444221
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sri Lanka,LKA,3968.67636479424
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Kitts and Nevis,KNA,21292.702560944
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Lucia,LCA,11314.734327866
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Martin (French part),MAF,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,St. Vincent and the Grenadines,VCT,9170.74946732761
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sudan,SDN,878.65673828125
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Suriname,SUR,7229.40964685994
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sweden,SWE,55521.4327527749
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Switzerland,CHE,89942.537545472
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Syrian Arab Republic,SYR,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tajikistan,TJK,1441.26806083608
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tanzania,TZA,1080.78552246094
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Thailand,THA,6384.80718079699
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Timor-Leste,TLS,1360.51173836855
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Togo,TGO,921.693129484827
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tonga,TON,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Trinidad and Tobago,TTO,14416.2359934203
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tunisia,TUN,3901.98463495067
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Turkiye,TUR,14630.3726428449
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Turkmenistan,TKM,8906.39564819448
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Turks and Caicos Islands,TCA,20406.7296276068
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Tuvalu,TUV,4111.54035058776
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uganda,UGA,956.251786882539
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ukraine,UKR,2207.00927734375
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United Arab Emirates,ARE,46877.428687674
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United Kingdom,GBR,47005.1190099575
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,United States,USA,65020.3529285737
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uruguay,URY,18108.693558116
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Uzbekistan,UZB,3604.11282920572
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Vanuatu,VUT,2517.22518480336
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Venezuela, RB",VEN,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Viet Nam,VNM,3817.19766783045
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Virgin Islands (U.S.),VIR,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,West Bank and Gaza,PSE,2859.91937318215
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Yemen, Rep.",YEM,..
